text,intent
"hey bot can you tell me the time?",1
"RainbowDash, what's the weather like?",1
"Dash, what are the new commands?",1
"bot, help me with this",1
"hey rainbow dash give me a summary of the new update",1
"what's up bot?",1
"i have a question for the bot",1
"can someone ask the bot to queue a song?",1
"i need help from rainbowdash",1
"hey @John what do you think of the new bot?",0
"that last message from the bot was funny",0
"i think rainbow dash is offline",0
"the bot isn't responding to my commands",0
"lol that's not what i meant",0
"who here knows how to use the bot's image command?",0
"i'm talking to you, not the bot",0
"is anyone else having issues with the bot?",0
"someone should tell the bot developer to fix this",0
"hey bot",1
"bot?",1
"yo dash",1
"I think I broke the bot lol",0
"the bot is a bit slow today isn't it",0
"hey @everyone check out this new feature from the bot",0
"Rainbow Dash is my favorite bot",0
"can you tell me a joke bot?",1
"what can you do, rainbowdash?",1
"I need to talk to the bot",1
"ask the bot what it thinks about this",1
"The bot's response was weird",0
"bot what is the server status",1
"dash can u find me a recipe for pancakes",1
"rainbowdash, how do i get a new role?",1
"bot pls help",1
"hey dash, what's on your mind?",1
"Could the bot please moderate this channel?",1
"I have a query for the bot",1
"bot, define 'syzygy'",1
"tell me something interesting, bot",1
"is the bot feeling okay? its responses are weird",0
"the bot is really helpful, thanks devs!",0
"i'm not sure if i'm using this bot correctly",0
"this bot is way better than the last one",0
"lol the bot's name is rainbow dash, cute",0
"hey @jane, did you see the bot's latest announcement?",0
"my command didn't work. maybe the bot is down",0
"i'm trying to figure out how to automate a task, maybe a bot can help",0
"good bot",0
"bad bot",0
"RainbowDash, flip a coin for me",1
"bot, roll a d20 die",1
"dash, set a reminder for 5 minutes",1
"can you search wikipedia for 'black holes', bot?",1
"hey rainbowdash, translate 'hello world' to spanish",1
"bot, what is 2+2?",1
"tell me a fun fact, dash",1
"who made you, bot?",1
"bot, are you sentient?",1
"i love this bot",0
"this bot is so smart",0
"i was just telling my friend about rainbowdash",0
"the bot seems to have a lot of features",0
"i need to read the bot's documentation",0
"the bot's avatar is cool",0
"is there a support server for this bot?",0
"how often is the bot updated?",0
"sometimes the bot misunderstands me",0
"i'm gonna add this bot to my own server",0
"bot could you give me the server stats?",1
"hey dash, what are the top songs this week?",1
"rainbowdash can you create a new channel for me?",1
"bot, what's my current level?",1
"can the bot kick this user?",1
"bot, show me the server rules",1
"what is the prefix for the bot?",0
"i forgot how to use the bot",0
"i wish the bot had a feature for polls",0
"does the bot log our conversations?",0
"this channel is for bot commands only",0
"everyone, please use the bot in the correct channel",0
"i was testing the bot's features",0
"this bot has some interesting easter eggs",0
"i'm impressed by this bot's capabilities",0
"that's a cool bot",0
"Dash, what's your favorite color?",1
"Hey bot, how are you today?",1
"RainbowDash, can you play some lofi beats?",1
"Bot, can you ban @spammer123?",1
"Dash, I need some help with my code",1
"what is your purpose, bot?",1
"can you recommend a movie, rainbow dash?",1
"bot give me a random number",1
"who created you, rainbow dash?",1
"bot, what's your uptime?",1
"I think the bot is great.",0
"Did you see the latest update to the bot?",0
"I wonder what technology the bot uses.",0
"The bot can be a bit sassy sometimes.",0
"Let's not spam the bot commands.",0
"@user456, you should ask the bot for help.",0
"The bot is a useful addition to this server.",0
"I'm trying to learn all of the bot's commands.",0
"This is the best discord bot.",0
"I was talking to @alex about the bot.",0
"bot, tell me a story",1
"rainbowdash, what is the meaning of life?",1
"hey dash, what are you?",1
"what can you do for me, bot?",1
"bot, send a message to @some_user",1
"can you moderate this chat, dash?",1
"rainbowdash, give me some advice",1
"tell me a quote, bot",1
"bot, what's your favorite song?",1
"dash, do you like me?",1
"the new feature on the bot is amazing!",0
"I appreciate the work the developers put into this bot.",0
"the bot's responses are getting more human-like.",0
"how does the bot handle so many requests at once?",0
"i wonder if the bot has an api.",0
"the bot's documentation is very well-written.",0
"i think i'll donate to the bot's development.",0
"the bot is very reliable.",0
"i was just talking about the bot to my friends.",0
"this bot has made the server so much better.",0
"bot, what's the weather in London?",1
"Rainbow Dash, set a timer for 10 minutes.",1
"Dash, show me the leaderboard.",1
"Bot, tell me who is the server owner.",1
"can you search for cute cat pictures bot?",1
"hey rainbow dash, what time is it?",1
"bot, generate a random password for me",1
"dash, what's the current price of bitcoin?",1
"rainbowdash, give me a riddle",1
"what are your thoughts on AI, bot?",1
"The bot's personality is so charming.",0
"Is there a way to suggest features for the bot?",0
"I'm always discovering new things the bot can do.",0
"I'd be lost without this bot.",0
"The bot helps keep the community engaged.",0
"I was just praising the bot to my team.",0
"Does anyone know if the bot has a premium version?",0
"The bot's response time is impressive.",0
"How can I contribute to the bot's development?",0
"This is a high-quality bot.",0
"bot, who am i?",1
"dash, what's my server join date?",1
"hey rainbowdash can u mute @troll?",1
"bot, create a poll: pizza or pasta?",1
"can the bot dm me the rules?",1
"hey bot, what are your commands?",1
"rainbowdash, tell me a joke about computers",1
"what are you made of, bot?",1
"dash, analyze this sentence for sentiment",1
"bot, can you speak in pirate slang?",1
"i think the bot is down for maintenance",0
"the bot has been acting up lately",0
"i prefer the old version of the bot",0
"the bot is a crucial part of this server",0
"this bot is open source, i saw it on github",0
"shoutout to the bot for making things easier",0
"i'm making a list of my favorite bot commands",0
"the bot's help message is very detailed",0
"i was surprised the bot could do that",0
"let's thank the bot for its hard work",0
"yo dash what's cookin?",1
"bot, give me the server info",1
"rainbowdash, can you tell me who's in the voice channel?",1
"hey bot, am i a moderator?",1
"dash can you change my nickname to 'cool kid'?",1
"bot, what's the server's region?",1
"rainbowdash, how many members are online?",1
"can you tell me a secret, bot?",1
"what's your source code, dash?",1
"bot, what are you learning right now?",1
"i was just looking at the bot's profile",0
"the bot has a very clean design",0
"i think the bot needs a reboot",0
"the bot helped me with my homework",0
"this bot is a lifesaver",0
"i'm making a guide on how to use the bot",0
"the bot's updates are always exciting",0
"i reported a bug in the bot yesterday",0
"this bot has more features than i expected",0
"i'm a big fan of this bot",0
"RainbowDash, what is love?",1
"hey bot, what's the best way to learn python?",1
"dash, can you find me a tutorial on youtube?",1
"bot, who is the president of the united states?",1
"what's the capital of france, rainbowdash?",1
"bot, can you solve this math problem: 5 * (10 + 3)?",1
"dash, tell me about the big bang theory",1
"who is your favorite philosopher, bot?",1
"rainbowdash, what do you think about humanity?",1
"bot, do you dream?",1
"the bot's error messages are actually helpful",0
"i wonder how much it costs to run this bot",0
"the bot is really good at understanding natural language",0
"i can't imagine this server without the bot",0
"the bot's permissions are set up correctly",0
"i was just recommending this bot to another server owner",0
"the bot handles edge cases surprisingly well",0
"i'm excited for the next bot update",0
"this bot is constantly improving",0
"i trust this bot with my data",0
"bot, can you tell me a little bit about yourself?",1
"hey dash, what are your limitations?",1
"rainbowdash, who are your creators?",1
"bot, can you write a haiku about discord?",1
"dash, summarize this article for me: [link]",1
"bot, give me a random compliment",1
"what's your favorite book, rainbowdash?",1
"bot, do you have any siblings?",1
"hey dash, can you sing a song?",1
"what's the best joke you know, bot?",1
"the bot's name fits its personality perfectly",0
"i wonder if the bot uses machine learning",0
"this bot is a great example of good AI design",0
"i was just reading through the bot's changelog",0
"the bot has a great community around it",0
"i appreciate the simplicity of this bot's commands",0
"the bot's responses are always so fast",0
"i've never seen a bot with this many features",0
"i'm glad the server owner chose this bot",0
"this bot makes managing the server a breeze",0
"bot, what's the answer to life, the universe, and everything?",1
"Dash, how can I be a better person?",1
"RainbowDash, can you check my grammar in this sentence?",1
"Bot, give me some motivation",1
"hey dash, can you help me brainstorm some ideas?",1
"bot, let's play a game of rock paper scissors",1
"who's the most famous person you've talked to, rainbowdash?",1
"bot, what's your favorite meme?",1
"dash, can you create a playlist for me?",1
"what are your hobbies, bot?",1
"the bot's developer is very responsive to feedback",0
"i'm amazed at how stable this bot is",0
"the bot's help command is very user-friendly",0
"i was just thinking about how useful the bot is",0
"this bot has saved me so much time",0
"the bot's presence makes the server feel more alive",0
"i've learned so much from interacting with this bot",0
"the bot is a testament to the power of community development",0
"i can't wait to see what the bot learns next",0
"this bot is an integral part of our community",0
"bot pls help me",1
"dash i need assistance",1
"rainbow dash can you give me a hand?",1
"bot, what should i do?",1
"hey bot, guide me",1
"i'm lost, bot, can you help?",1
"what's the next step, dash?",1
"rainbowdash, i'm stuck",1
"bot, provide instructions",1
"how does this work, bot?",1
"the bot just went offline",0
"i think the bot is having a moment",0
"the bot's message was deleted",0
"i'm reading about other discord bots",0
"this server has the best bots",0
"i like the other bot better",0
"the bot is just a bunch of if statements",0
"i bet i could make a better bot",0
"the bot is probably written in python",0
"i wonder what the bot's ping is",0
"bot can u remind me to drink water in 1 hour",1
"hey dash, add 'buy milk' to my to-do list",1
"rainbowdash, what's on my schedule for today?",1
"bot, show my reminders",1
"can the bot set a daily reminder for me?",1
"dash, clear my to-do list",1
"bot, what's the date today?",1
"rainbowdash, what day of the week is it?",1
"hey bot, is it a holiday today?",1
"bot, what's the current time in tokyo?",1
"my friend told me about this bot",0
"the bot's profile picture is from a show",0
"i saw a bot with a similar name once",0
"the bot's status is 'playing a game'",0
"i think the bot just crashed",0
"i got a dm from the bot",0
"the bot is typing...",0
"this bot is hosted on a raspberry pi i bet",0
"the server owner is friends with the bot developer",0
"the bot's commands are case-sensitive",0
"hey bot, how do you spell 'onomatopoeia'?",1
